City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
421,Emba,KZ,48.8264,58.1442,28.36,73,100,15.43,overcast clouds
422,Noumea,NC,-22.2763,166.4572,84.18,73,99,9.95,overcast clouds
423,Dryden,CA,49.7833,-92.7503,19.69,79,100,11.5,overcast clouds
424,Muzhi,RU,65.3667,64.6667,18.77,79,100,15.68,overcast clouds
425,Shimoda,JP,34.6667,138.95,59.36,70,70,10.67,broken clouds
426,Burias,PH,11.4463,122.5497,75.83,99,100,6.91,light rain
427,Balykshi,KZ,47.0667,51.8667,35.6,75,40,8.95,mist
428,Zhezkazgan,KZ,47.8043,67.7144,22.75,83,100,9.98,overcast clouds
429,Hauterive,FR,46.0901,3.4459,52.56,85,88,9.82,overcast clouds
430,Tecoanapa,MX,16.5167,-98.75,80.51,75,73,7.9,broken clouds
431,Mackenzie,CA,55.2999,-123.1698,19.62,86,100,3.44,overcast clouds
432,Zilupe,LV,56.3862,28.1217,26.04,80,98,10.07,overcast clouds
433,Homnabad,IN,17.7667,77.1333,59.81,63,9,7.23,clear sky
434,Allapalli,IN,19.4167,80.0667,57.76,68,38,2.64,scattered clouds
435,Niteroi,BR,-22.8833,-43.1036,74.82,69,40,12.66,scattered clouds
436,Tazovskiy,RU,67.4667,78.7,13.28,93,100,22.57,light snow
437,Xichang,CN,27.8964,102.2634,43.97,76,0,0.69,clear sky
438,Hella,NO,67.2,14.4333,42.94,32,0,18.41,clear sky
439,Qui Nhon,VN,13.7667,109.2333,76.64,92,42,6.53,scattered clouds
440,Tubuala,PA,9.5167,-79.0333,78.35,87,99,7.47,moderate rain
441,Strezhevoy,RU,60.7333,77.5889,-2.11,83,67,10.31,broken clouds
442,Roebourne,AU,-20.7833,117.1333,73.31,43,0,15.52,clear sky
443,Kyzyl-Suu,KG,42.3414,78.0056,27.79,59,93,8.3,overcast clouds
444,Redlands,US,34.0556,-117.1825,76.17,18,55,2.84,broken clouds
445,Paamiut,GL,61.994,-49.6678,16.41,66,100,5.3,overcast clouds
446,Surgut,RU,61.25,73.4167,-1.91,64,0,11.18,clear sky
447,Samarai,PG,-10.6167,150.6667,85.42,71,92,12.46,overcast clouds
448,Shetpe,KZ,44.1667,52.1167,42.94,71,39,3.62,scattered clouds
449,Khandyga,RU,62.6667,135.6,-19.03,88,97,1.97,overcast clouds
450,Constitucion,CL,-35.3333,-72.4167,57.72,87,47,12.86,scattered clouds
451,Krasnooktyabrskiy,RU,44.9328,38.3712,57.09,73,100,26.64,light rain
452,Ossora,RU,59.2353,163.0719,17.01,77,4,7.4,clear sky
453,Nanortalik,GL,60.1432,-45.2371,22.64,72,82,3.6,broken clouds
454,Birjand,IR,32.8663,59.2211,54.07,30,0,11.5,clear sky
455,Coos Bay,US,43.3665,-124.2179,54.32,79,20,4.61,few clouds
456,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,73,14,4.88,few clouds
457,Togur,RU,58.3631,82.8265,-17.91,100,49,3.78,scattered clouds
458,Pisco,PE,-13.7,-76.2167,66.25,77,0,18.41,clear sky
459,Almenara,BR,-16.1836,-40.6944,71.22,96,98,3.09,light rain
460,Hopelchen,MX,19.7667,-89.85,77.86,72,51,5.64,broken clouds
461,Grindavik,IS,63.8424,-22.4338,45.07,81,40,10.36,scattered clouds
462,Pevek,RU,69.7008,170.3133,-6.7,99,99,4.88,overcast clouds
463,Santiago Del Estero,AR,-27.7951,-64.2615,89.02,24,21,11.74,few clouds
464,Pombia,IT,45.653,8.6336,51.22,92,75,4.61,broken clouds
465,Kibala,TD,9.1104,18.3463,67.95,77,0,0.0,clear sky
466,Kaba,HU,47.35,21.2833,43.02,88,100,0.34,overcast clouds
467,Aswan,EG,24.0934,32.907,61.9,41,0,5.75,clear sky
468,General Roca,AR,-39.0333,-67.5833,68.63,62,59,20.11,broken clouds
