City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
519,Bowen,AU,80.82,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
520,Dingle,PH,78.15,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
522,Belmonte,BR,75.27,moderate rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
528,Ponnani,IN,74.52,scattered clouds,10.767,75.9252,Rouba Residency
536,Kirakira,SB,81.23,light rain,-10.4544,161.9205,SanBiz Lodge
537,Ibia,BR,70.92,broken clouds,-19.4783,-46.5389,Hotel Triângulo
540,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
545,Innisfail,AU,84.94,clear sky,-17.5333,146.0333,Moondarra Motel
548,Koumac,NC,81.45,overcast clouds,-20.5667,164.2833,Le Monitel
549,Lai,TD,72.68,broken clouds,9.3952,16.2989,Auberge la Citadelle
550,Kaeo,NZ,71.33,broken clouds,-35.1,173.7833,Bushido Lodge
551,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
554,Witu,KE,75.36,light rain,-2.3889,40.4382,
556,Davila,PH,78.78,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
559,Manggar,ID,80.92,overcast clouds,-2.8833,108.2667,Guest Hotel
562,Balingasay,PH,82.24,overcast clouds,16.3573,119.8564,Rock Garden Resort
566,Taoudenni,ML,73.36,clear sky,22.6783,-3.9836,
567,Auki,SB,83.39,overcast clouds,-8.7676,160.7034,Auki Motel
568,Aripuana,BR,74.52,overcast clouds,-9.1667,-60.6333,
569,Jibuti,DJ,70.02,clear sky,11.5,42.5,Orchid Main Camp Goubet
570,Tera,NE,74.7,clear sky,14.0078,0.7531,Hôtel Daressalam Téra
571,Conakry,GN,82.15,overcast clouds,9.538,-13.6773,Riviera Royal Hotel
574,Kidal,ML,70.14,scattered clouds,18.4411,1.4078,
575,Hervey Bay,AU,70.84,clear sky,-25.2986,152.8535,Shelly Bay Resort
577,Kendari,ID,79.7,overcast clouds,-3.945,122.4989,Hotel Wixel
578,Guane,CU,74.32,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
580,Tumaco,CO,76.21,overcast clouds,1.7986,-78.8156,Calle nueva creación
581,Caravelas,BR,72.7,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
594,Mitsamiouli,KM,77.61,clear sky,-11.3847,43.2844,Foyer ADM
598,Nioro,GM,77.74,broken clouds,13.35,-15.75,
599,Ternate,ID,83.19,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
600,Micheweni,TZ,77.23,light rain,-4.9667,39.8333,
