City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coahuayana,MX,2022-11-09 18:10:41,18.7333,-103.6833,86.68,61,15,4.59
68,Gorontalo,ID,2022-11-09 18:10:41,0.5412,123.0595,75.69,94,98,2.33
69,Srikakulam,IN,2022-11-09 18:10:42,18.3,83.9,77.38,68,100,6.06
70,Rach Gia,VN,2022-11-09 18:10:42,10.0167,105.0833,78.78,83,100,5.1
71,Namibe,AO,2022-11-09 18:10:42,-15.1961,12.1522,68.86,74,3,13.51
72,Hermanus,ZA,2022-11-09 18:10:43,-34.4187,19.2345,59.81,64,56,10.22
73,Kaitangata,NZ,2022-11-09 18:10:43,-46.2817,169.8464,39.92,87,8,3.38
74,Vyazma,RU,2022-11-09 18:10:43,55.2104,34.2951,45.12,89,100,11.9
75,Doha,QA,2022-11-09 18:10:44,25.2867,51.5333,85.89,64,0,11.5
76,Bonanza,NI,2022-11-09 18:10:44,14.0289,-84.591,84.74,58,67,3.85
77,Port Hardy,CA,2022-11-09 18:10:45,50.6996,-127.4199,34.05,62,2,1.14
78,Dordrecht,NL,2022-11-09 18:10:45,51.81,4.6736,55.09,81,70,5.99
79,Soure,BR,2022-11-09 18:10:45,-0.7167,-48.5233,83.37,66,60,14.27
80,Berlevag,NO,2022-11-09 18:10:46,70.8578,29.0864,33.6,86,40,6.91
81,Mar Del Plata,AR,2022-11-09 18:10:20,-38.0023,-57.5575,81.82,73,0,20.0
82,Moose Factory,CA,2022-11-09 18:10:46,51.2585,-80.6094,39.2,81,100,4.61
83,Brae,GB,2022-11-09 18:10:47,60.3964,-1.353,51.15,82,76,26.6
84,Kapaa,US,2022-11-09 18:10:47,22.0752,-159.319,77.32,84,20,17.27
85,Airai,TL,2022-11-09 18:10:47,-8.9266,125.4092,61.79,93,38,1.81
86,Balakhninskiy,RU,2022-11-09 18:10:48,58.0106,114.2769,3.99,99,92,1.28
87,Galle,LK,2022-11-09 18:10:48,6.0367,80.217,77.23,85,100,1.66
